cpu_ts,rgb_ts,filename
1608115514182,1608115514067,RGB_369
1608115514216,1608115514101,RGB_370
1608115514248,1608115514136,RGB_371
1608115514282,1608115514170,RGB_372
1608115514315,1608115514204,RGB_373
1608115514349,1608115514238,RGB_374
1608115514383,1608115514272,RGB_375
1608115514418,1608115514307,RGB_376
1608115514452,1608115514341,RGB_377
1608115514485,1608115514375,RGB_378
1608115514519,1608115514409,RGB_379
1608115514552,1608115514444,RGB_380
1608115514585,1608115514478,RGB_381
1608115514619,1608115514512,RGB_382
1608115514652,1608115514546,RGB_383
1608115514686,1608115514581,RGB_384
1608115514716,1608115514615,RGB_385
1608115514750,1608115514649,RGB_386
1608115514783,1608115514683,RGB_387
1608115514817,1608115514717,RGB_388
1608115514851,1608115514752,RGB_389
1608115514884,1608115514786,RGB_390
1608115514917,1608115514820,RGB_391
1608115514951,1608115514854,RGB_392
1608115514984,1608115514888,RGB_393
1608115515018,1608115514922,RGB_394
1608115515051,1608115514956,RGB_395
1608115515084,1608115514991,RGB_396
1608115515117,1608115515025,RGB_397
1608115515151,1608115515059,RGB_398
1608115515186,1608115515093,RGB_399
1608115515219,1608115515128,RGB_400
1608115515253,1608115515162,RGB_401
1608115515285,1608115515196,RGB_402
1608115515319,1608115515230,RGB_403
1608115515352,1608115515264,RGB_404
1608115515385,1608115515299,RGB_405
1608115515420,1608115515333,RGB_406
1608115515453,1608115515367,RGB_407
1608115515486,1608115515401,RGB_408
1608115515520,1608115515436,RGB_409
1608115515552,1608115515470,RGB_410
1608115515585,1608115515504,RGB_411
1608115515619,1608115515538,RGB_412
1608115515652,1608115515572,RGB_413
1608115515686,1608115515607,RGB_414
1608115515719,1608115515641,RGB_415
1608115515753,1608115515675,RGB_416
1608115515786,1608115515709,RGB_417
1608115515820,1608115515743,RGB_418
1608115515853,1608115515778,RGB_419
1608115515886,1608115515812,RGB_420
1608115515924,1608115515846,RGB_421
1608115515958,1608115515880,RGB_422
1608115516027,1608115515915,RGB_423
1608115516056,1608115515949,RGB_424
1608115516087,1608115515983,RGB_425
1608115516120,1608115516017,RGB_426
1608115516153,1608115516051,RGB_427
1608115516187,1608115516086,RGB_428
1608115516221,1608115516120,RGB_429
