cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115975123,1608115975102,0.343233,-9.247671,-1.470997,1608115975122,-0.003491,0.003491,0.000000
1608115975140,1608115975118,0.284393,-9.345737,-1.794617,1608115975139,-0.001745,0.000000,0.000000
1608115975157,1608115975138,0.284393,-9.286898,-1.637710,1608115975155,-0.003491,0.003491,0.000000
1608115975173,1608115975154,0.362846,-9.365351,-1.931910,1608115975172,0.000000,0.001745,0.000000
1608115975190,1608115975169,0.323619,-9.326124,-1.755390,1608115975189,0.000000,0.000000,0.000000
1608115975207,1608115975185,0.284393,-9.306511,-1.775004,1608115975205,0.000000,0.000000,0.000000
1608115975224,1608115975205,0.362846,-9.267284,-1.676937,1608115975222,-0.003491,0.005236,0.001745
1608115975241,1608115975221,0.323619,-9.404577,-2.059397,1608115975239,-0.003491,0.000000,0.000000
1608115975261,1608115975241,0.323619,-9.326124,-1.794617,1608115975260,0.000000,0.001745,-0.001745
1608115975278,1608115975257,0.343233,-9.286898,-1.794617,1608115975276,-0.001745,0.003491,0.000000
1608115975295,1608115975277,0.362846,-9.326124,-1.951523,1608115975294,0.000000,0.001745,0.000000
1608115975312,1608115975293,0.382459,-9.345737,-1.735777,1608115975310,-0.003491,0.000000,0.000000
1608115975328,1608115975308,0.343233,-9.286898,-1.775004,1608115975327,-0.001745,0.003491,0.001745
1608115975345,1608115975324,0.304006,-9.267284,-1.775004,1608115975344,-0.001745,0.006981,0.003491
1608115975362,1608115975344,0.362846,-9.267284,-1.775004,1608115975360,0.000000,0.003491,0.000000
1608115975379,1608115975360,0.343233,-9.345737,-1.755390,1608115975378,-0.003491,0.000000,0.000000
1608115975395,1608115975372,0.304006,-9.286898,-1.794617,1608115975394,-0.003491,0.003491,0.001745
1608115975412,1608115975392,0.323619,-9.267284,-1.735777,1608115975411,-0.001745,0.003491,0.000000
1608115975429,1608115975412,0.284393,-9.326124,-1.755390,1608115975428,-0.005236,0.000000,0.000000
1608115975446,1608115975428,0.343233,-9.326124,-1.755390,1608115975444,-0.003491,0.005236,0.003491
1608115975463,1608115975444,0.343233,-9.326124,-1.794617,1608115975461,-0.001745,0.001745,0.000000
1608115975479,1608115975463,0.284393,-9.247671,-1.657324,1608115975478,0.000000,0.001745,0.001745
1608115975496,1608115975479,0.284393,-9.306511,-1.833843,1608115975494,-0.003491,0.000000,0.000000
1608115975513,1608115975495,0.343233,-9.267284,-1.775004,1608115975512,-0.001745,0.001745,0.001745
1608115975530,1608115975511,0.323619,-9.267284,-1.735777,1608115975529,0.000000,0.001745,0.000000
1608115975546,1608115975527,0.362846,-9.267284,-1.853457,1608115975545,-0.001745,0.005236,0.000000
1608115975563,1608115975547,0.382459,-9.326124,-1.755390,1608115975562,-0.001745,0.000000,0.000000
1608115975580,1608115975563,0.362846,-9.286898,-1.716164,1608115975579,-0.001745,0.006981,0.000000
1608115975597,1608115975579,0.323619,-9.267284,-1.637710,1608115975596,-0.001745,0.000000,0.000000
1608115975614,1608115975591,0.323619,-9.247671,-1.755390,1608115975613,0.000000,0.005236,0.003491
