acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.099911,7.985545,0.000126,11.085582,5.664645,2
3.087246,7.952616,0.000109,11.039971,5.581085,2
3.112263,8.035290,0.000111,11.147664,5.626696,2
3.135784,8.177949,0.000113,11.313846,5.519003,2
3.102021,8.185536,0.000130,11.287687,5.352821,2
3.088883,8.116582,0.000130,11.205595,5.378980,2
3.088551,8.152872,0.000133,11.241556,5.461072,2
3.100208,8.414514,0.000152,11.514874,5.425111,2
3.090547,8.101733,0.000128,11.192408,5.151793,2
3.101135,9.895240,0.000107,12.996482,5.474259,2
3.107958,9.995374,0.000120,13.103452,3.670185,2
3.114584,9.311576,0.000059,12.426219,3.563215,2
3.104156,9.350763,0.000292,12.455211,4.240448,2
3.095575,9.984185,0.000121,13.079881,4.211456,2
3.094235,8.275109,0.000111,11.369455,3.586786,2
3.108249,3.446814,0.000160,6.555223,5.297212,2
3.087541,7.921292,0.000093,11.008926,10.111444,2
3.101793,8.158257,0.000113,11.260163,5.657741,2
3.140787,7.956475,0.000099,11.097361,5.406504,2
3.163797,8.101507,0.000109,11.265413,5.569306,2
3.105326,9.589236,0.000130,12.694692,5.401254,2
3.101727,9.303054,0.000098,12.404879,3.971975,2
3.104596,9.116425,0.000092,12.221113,4.261788,2
3.156828,9.568375,0.000117,12.725320,4.445554,2
3.097722,8.783137,11.580258,23.461117,3.941347,2
3.141144,7.808184,0.000044,10.949372,-6.794450,3
3.097599,7.950492,0.000113,11.048204,5.717295,3
3.097622,7.968448,0.000112,11.066182,5.618463,3
3.097693,7.886238,0.000164,10.984095,5.600485,3
3.095204,7.937870,0.000050,11.033124,5.682572,3
3.102714,8.385813,0.000110,11.488637,5.633543,3
3.100791,8.149401,0.000133,11.250325,5.178030,3
3.133914,8.173683,0.000346,11.307943,5.416342,3
3.147587,8.337542,0.000170,11.485299,5.358724,3
3.095378,7.922168,0.000113,11.017659,5.181368,3
3.092557,7.919133,0.000248,11.011938,5.649008,3
3.093041,8.580602,0.000098,11.673741,5.654729,3
3.092492,7.923882,0.000140,11.016514,4.992926,3
3.114417,11.269218,0.000107,14.383742,5.650153,3
3.107816,10.636569,0.000109,13.744494,2.282925,3
3.123405,10.528145,0.000136,13.651686,2.922173,3
3.100169,10.863665,0.000136,13.963970,3.014981,3
3.105282,11.677691,0.000138,14.783111,2.702697,3
3.087079,9.579735,0.000129,12.666943,1.883556,3
3.150030,16.492461,0.000164,19.642655,3.999724,3
3.102917,9.163129,0.000115,12.266161,-2.975988,4
3.098284,8.496194,0.000100,11.594578,4.400506,4
3.164145,17.931178,0.000139,21.095462,5.072089,4
3.143311,9.365249,0.000095,12.508655,-4.428795,5
3.108594,9.541248,0.000098,12.649940,4.158012,5
3.102935,9.311926,0.000120,12.414981,4.016727,5
3.122275,8.088007,0.000120,11.210402,4.251686,5
3.088310,8.076344,0.000046,11.164700,5.456265,5
3.091822,7.923297,0.000070,11.015189,5.501967,5
3.097891,7.956909,0.000125,11.054925,5.651478,5
3.099640,8.072690,0.000101,11.172431,5.611742,5
3.086900,7.955547,0.000089,11.042536,5.494236,5
3.086509,7.951392,0.000055,11.037956,5.624131,5
3.089071,7.896391,0.000095,10.985557,5.628711,5
3.088219,7.832733,0.000093,10.921045,5.681110,5
3.096239,7.967944,0.000093,11.064276,5.745622,5
3.087425,8.009027,0.000100,11.096552,5.602391,5
3.100965,8.130190,0.000099,11.231254,5.570115,5
3.096916,7.950481,0.000074,11.047471,5.435413,5
3.102761,8.393005,0.000099,11.495865,5.619196,5
3.102212,8.215618,0.000094,11.317924,5.170802,5
3.126964,8.222516,0.000045,11.349525,5.348743,5
3.124395,8.219308,0.000119,11.343822,5.317142,5
3.101085,8.124697,0.000095,11.225877,5.322845,5
3.087414,7.831824,0.000119,10.919357,5.440790,5
3.102246,8.031868,0.000050,11.134164,5.747310,5
3.101203,7.935999,0.000054,11.037256,5.532503,5
3.100454,8.030960,0.000124,11.131538,5.629411,5
3.116068,8.177640,0.000100,11.293808,5.535129,5
3.102344,8.223508,0.000047,11.325899,5.372859,5
3.106703,8.041225,0.000047,11.147975,5.340768,5
3.131685,7.785074,0.000097,10.916856,5.518692,5
3.134926,7.850569,0.000101,10.985596,5.749811,5
3.165889,7.785229,0.000089,10.951207,5.681071,5
3.134120,7.844640,0.000108,10.978868,5.715460,5
3.116215,8.439941,0.000081,11.556237,5.687799,5
3.142122,8.065927,0.000084,11.208133,5.110430,5
3.105029,8.124226,0.000125,11.229380,5.458534,5
3.096300,8.425605,0.000170,11.522075,5.437287,5
3.090991,8.008159,9.039710,20.138860,5.144592,5
3.125312,7.799449,0.000137,10.924898,-3.472193,6
3.135966,8.743292,0.000111,11.879369,5.741769,6
3.124877,7.813351,0.000106,10.938334,4.787298,6
3.126861,8.348378,0.000126,11.475365,5.728333,6
